0,1,2,3,4,5,6,7,8
Boston Celtics,104,Chicago Bulls,116,Box Score,,,,
Buffalo Braves,105,Cleveland Cavaliers,116,Box Score,,,,
Kansas City Kings,119,Golden State Warriors,130,Box Score,,,,
New Jersey Nets,129,Indiana Pacers,121,Box Score,,,,
Los Angeles Lakers,103,Milwaukee Bucks,102,Box Score,,,,
Philadelphia 76ers,119,New Orleans Jazz,120,Box Score,,,,
Atlanta Hawks,105,New York Knicks,101,Box Score,,,,
Houston Rockets,101,Portland Trail Blazers,89,Box Score,,,,
Phoenix Suns,119,San Antonio Spurs,125,Box Score,,,,
Atlanta Hawks,87,Buffalo Braves,74,Box Score,,,,
Los Angeles Lakers,119,Washington Bullets,125,Box Score,,,,
Houston Rockets,100,Seattle SuperSonics,113,Box Score,,,,
New Jersey Nets,121,Denver Nuggets,129,Box Score,,,,
Detroit Pistons,115,Philadelphia 76ers,126,Box Score,,,,
Washington Bullets,112,Boston Celtics,103,Box Score,,,,"at Providence, RI"
Milwaukee Bucks,105,Cleveland Cavaliers,117,Box Score,,,,
Portland Trail Blazers,96,Golden State Warriors,115,Box Score,,,,
Detroit Pistons,125,New York Knicks,129,Box Score,OT,,,
Denver Nuggets,111,Phoenix Suns,105,Box Score,,,,
Kansas City Kings,116,San Antonio Spurs,123,Box Score,,,,
Buffalo Braves,113,Chicago Bulls,103,Box Score,,,,
Phoenix Suns,83,Seattle SuperSonics,95,Box Score,,,,
Denver Nuggets,93,Portland Trail Blazers,97,Box Score,,,,
Indiana Pacers,127,Philadelphia 76ers,118,Box Score,,,,
San Antonio Spurs,102,Milwaukee Bucks,108,Box Score,,,,
New Jersey Nets,106,Los Angeles Lakers,114,Box Score,,,,
New York Knicks,125,Kansas City Kings,112,Box Score,,,,
New Orleans Jazz,117,Houston Rockets,114,Box Score,,,,
Detroit Pistons,111,Boston Celtics,109,Box Score,,,,
Cleveland Cavaliers,111,Atlanta Hawks,109,Box Score,,,,
Milwaukee Bucks,123,Boston Celtics,111,Box Score,,,,
New Jersey Nets,109,Phoenix Suns,120,Box Score,,,,
Washington Bullets,114,Philadelphia 76ers,131,Box Score,,,,
Seattle SuperSonics,87,Golden State Warriors,102,Box Score,,,,
Houston Rockets,112,Indiana Pacers,111,Box Score,,,,
New York Knicks,118,Buffalo Braves,107,Box Score,,,,
Chicago Bulls,85,Atlanta Hawks,99,Box Score,,,,
Buffalo Braves,114,Boston Celtics,131,Box Score,,,,
Denver Nuggets,137,Detroit Pistons,139,Box Score,,,,
Cleveland Cavaliers,120,Kansas City Kings,117,Box Score,,,,
San Antonio Spurs,132,New Orleans Jazz,153,Box Score,,,,
Los Angeles Lakers,99,Portland Trail Blazers,114,Box Score,,,,
Golden State Warriors,105,Seattle SuperSonics,111,Box Score,,,,
Philadelphia 76ers,113,Washington Bullets,123,Box Score,,,,
,,,,,,,,
Milwaukee Bucks,111,Phoenix Suns,103,Box Score,,,,
New York Knicks,132,Cleveland Cavaliers,114,Box Score,,,,
Los Angeles Lakers,90,Seattle SuperSonics,102,Box Score,,,,
Atlanta Hawks,94,Washington Bullets,103,Box Score,,,,
Washington Bullets,107,Atlanta Hawks,103,Box Score,OT,,,
Seattle SuperSonics,99,Los Angeles Lakers,105,Box Score,,,,
Phoenix Suns,90,Milwaukee Bucks,94,Box Score,,,,
Cleveland Cavaliers,107,New York Knicks,109,Box Score,,,,
Los Angeles Lakers,102,Seattle SuperSonics,111,Box Score,,,,
New York Knicks,90,Philadelphia 76ers,130,Box Score,,,,
Washington Bullets,103,San Antonio Spurs,114,Box Score,,,,
Milwaukee Bucks,103,Denver Nuggets,119,Box Score,,,,
New York Knicks,100,Philadelphia 76ers,119,Box Score,,,,
Seattle SuperSonics,104,Portland Trail Blazers,95,Box Score,,,,
Washington Bullets,121,San Antonio Spurs,117,Box Score,,,,
Philadelphia 76ers,137,New York Knicks,126,Box Score,,,,
Milwaukee Bucks,111,Denver Nuggets,127,Box Score,,,,
Seattle SuperSonics,93,Portland Trail Blazers,96,Box Score,,,,
San Antonio Spurs,105,Washington Bullets,118,Box Score,,,,
Philadelphia 76ers,112,New York Knicks,107,Box Score,,,,
San Antonio Spurs,95,Washington Bullets,98,Box Score,,,,
Portland Trail Blazers,84,Seattle SuperSonics,99,Box Score,,,,
Denver Nuggets,112,Milwaukee Bucks,143,Box Score,,,,
Denver Nuggets,118,Milwaukee Bucks,104,Box Score,,,,
Washington Bullets,105,San Antonio Spurs,116,Box Score,,,,
Portland Trail Blazers,98,Seattle SuperSonics,100,Box Score,,,,
Milwaukee Bucks,117,Denver Nuggets,112,Box Score,,,,
San Antonio Spurs,100,Washington Bullets,103,Box Score,,,,
Denver Nuggets,91,Milwaukee Bucks,119,Box Score,,,,
Washington Bullets,122,Philadelphia 76ers,117,Box Score,OT,,,
Seattle SuperSonics,89,Portland Trail Blazers,113,Box Score,,,,
0,1,2,3,4,5,6,7,8
,,,,,,,,
Portland Trail Blazers,94,Seattle SuperSonics,105,Box Score,,,,
Milwaukee Bucks,110,Denver Nuggets,116,Box Score,,,,
Washington Bullets,104,Philadelphia 76ers,110,Box Score,,,,
Seattle SuperSonics,107,Denver Nuggets,116,Box Score,,,,
Philadelphia 76ers,108,Washington Bullets,123,Box Score,,,,
Seattle SuperSonics,121,Denver Nuggets,111,Box Score,,,,
Philadelphia 76ers,105,Washington Bullets,121,Box Score,,,,
Denver Nuggets,91,Seattle SuperSonics,105,Box Score,,,,
Washington Bullets,94,Philadelphia 76ers,107,Box Score,,,,
Denver Nuggets,94,Seattle SuperSonics,100,Box Score,,,,
Philadelphia 76ers,99,Washington Bullets,101,Box Score,,,,
Seattle SuperSonics,114,Denver Nuggets,123,Box Score,,,,
Denver Nuggets,108,Seattle SuperSonics,123,Box Score,,,,
Washington Bullets,102,Seattle SuperSonics,106,Box Score,,"14,098",,
Seattle SuperSonics,98,Washington Bullets,106,Box Score,,"19,035",,
Seattle SuperSonics,93,Washington Bullets,92,Box Score,,"19,035",,
Washington Bullets,120,Seattle SuperSonics,116,Box Score,OT,"39,457",Seattle Kingdome,at Kingdome
0,1,2,3,4,5,6,7,8
,,,,,,,,
Washington Bullets,94,Seattle SuperSonics,98,Box Score,,"14,098",,
Seattle SuperSonics,82,Washington Bullets,117,Box Score,,"19,035",,
Washington Bullets,105,Seattle SuperSonics,99,Box Score,,"14,098",,
