0,1,2,3,4,5,6,7,8
Houston Rockets,105,Cleveland Cavaliers,92,Box Score,,,,
New York Knicks,116,San Antonio Spurs,120,Box Score,,,,
Seattle SuperSonics,111,Boston Celtics,89,Box Score,,,,
New Jersey Nets,92,Denver Nuggets,126,Box Score,,,,
Chicago Bulls,107,Indiana Pacers,102,Box Score,,,,
Detroit Pistons,97,Kansas City Kings,108,Box Score,,,,
Washington Bullets,108,Milwaukee Bucks,95,Box Score,,,,
Portland Trail Blazers,106,Phoenix Suns,103,Box Score,,,,
Seattle SuperSonics,102,Buffalo Braves,95,Box Score,,,,
Cleveland Cavaliers,97,Chicago Bulls,111,Box Score,,,,
Indiana Pacers,103,Detroit Pistons,89,Box Score,,,,
Atlanta Hawks,101,Golden State Warriors,118,Box Score,,,,
Philadelphia 76ers,116,Houston Rockets,120,Box Score,OT,,,
New Jersey Nets,115,Kansas City Kings,118,Box Score,OT,,,
Milwaukee Bucks,115,New York Knicks,108,Box Score,,,,
New Orleans Jazz,118,San Antonio Spurs,133,Box Score,,,,
Boston Celtics,93,Washington Bullets,103,Box Score,,,,
Washington Bullets,100,Cleveland Cavaliers,94,Box Score,,,,
Denver Nuggets,111,Los Angeles Lakers,109,Box Score,,,,
New Jersey Nets,118,Milwaukee Bucks,134,Box Score,OT,,,
Atlanta Hawks,96,Phoenix Suns,89,Box Score,,,,
Atlanta Hawks,88,Seattle SuperSonics,99,Box Score,,,,
New Orleans Jazz,90,Buffalo Braves,113,Box Score,,,,
Washington Bullets,108,Chicago Bulls,116,Box Score,,,,
Portland Trail Blazers,116,Cleveland Cavaliers,94,Box Score,,,,
Houston Rockets,105,Golden State Warriors,107,Box Score,,,,
Phoenix Suns,103,Kansas City Kings,92,Box Score,,,,
Milwaukee Bucks,108,Los Angeles Lakers,109,Box Score,,,,
Boston Celtics,119,New York Knicks,122,Box Score,OT,,,
Kansas City Kings,109,Boston Celtics,113,Box Score,,,,
Atlanta Hawks,116,Denver Nuggets,123,Box Score,,,,
Phoenix Suns,113,Detroit Pistons,107,Box Score,OT,,,
New Orleans Jazz,103,Indiana Pacers,118,Box Score,,,,
San Antonio Spurs,125,New Jersey Nets,122,Box Score,,,,
Portland Trail Blazers,100,Philadelphia 76ers,122,Box Score,,,,
Cleveland Cavaliers,95,Washington Bullets,96,Box Score,,,,
New Jersey Nets,78,Chicago Bulls,104,Box Score,,,,
Milwaukee Bucks,117,Golden State Warriors,116,Box Score,,,,
New York Knicks,103,Atlanta Hawks,84,Box Score,,,,
Portland Trail Blazers,118,Boston Celtics,87,Box Score,,,,
Houston Rockets,116,Los Angeles Lakers,105,Box Score,,,,The Punch
Kansas City Kings,114,New Jersey Nets,122,Box Score,,,,
San Antonio Spurs,116,Philadelphia 76ers,120,Box Score,,,,
Milwaukee Bucks,123,Seattle SuperSonics,136,Box Score,,,,
New Orleans Jazz,97,Washington Bullets,101,Box Score,,,,
San Antonio Spurs,119,Chicago Bulls,121,Box Score,,,,
Atlanta Hawks,87,Cleveland Cavaliers,102,Box Score,,,,
Milwaukee Bucks,111,Denver Nuggets,118,Box Score,,,,
New Orleans Jazz,86,Detroit Pistons,104,Box Score,,,,
Philadelphia 76ers,108,Indiana Pacers,114,Box Score,OT,,,
Golden State Warriors,97,Kansas City Kings,92,Box Score,OT,,,
Portland Trail Blazers,107,New York Knicks,106,Box Score,,,,
Houston Rockets,93,Phoenix Suns,110,Box Score,,,,
Buffalo Braves,119,Los Angeles Lakers,124,Box Score,OT,,,
Houston Rockets,84,Seattle SuperSonics,116,Box Score,,,,
New Jersey Nets,106,Washington Bullets,95,Box Score,,,,
New Jersey Nets,108,Boston Celtics,122,Box Score,,,,"at Hartford, CT"
Denver Nuggets,96,Chicago Bulls,99,Box Score,,,,
Seattle SuperSonics,104,Cleveland Cavaliers,116,Box Score,,,,
Philadelphia 76ers,117,Milwaukee Bucks,129,Box Score,,,,
Los Angeles Lakers,94,New Orleans Jazz,117,Box Score,,,,
Atlanta Hawks,106,New York Knicks,107,Box Score,,,,
Buffalo Braves,108,Portland Trail Blazers,111,Box Score,,,,
Golden State Warriors,96,Washington Bullets,102,Box Score,,,,
Seattle SuperSonics,102,Detroit Pistons,92,Box Score,,,,
Los Angeles Lakers,113,Houston Rockets,91,Box Score,,,,
