,0,1,2,3,4,5,6,7,8
120,Chicago Bulls,89.0,New Jersey Nets,91.0,Box Score,,,,
121,New York Knicks,119.0,Philadelphia 76ers,127.0,Box Score,,,,
122,Indiana Pacers,111.0,Seattle SuperSonics,117.0,Box Score,,,,
123,Chicago Bulls,103.0,Buffalo Braves,106.0,Box Score,,,,
124,Kansas City Kings,114.0,Denver Nuggets,119.0,Box Score,,,,
125,Portland Trail Blazers,102.0,Houston Rockets,104.0,Box Score,,,,
126,New Jersey Nets,90.0,New York Knicks,101.0,Box Score,,,,
127,Atlanta Hawks,99.0,San Antonio Spurs,116.0,Box Score,,,,
128,Philadelphia 76ers,98.0,Washington Bullets,116.0,Box Score,,,,
129,Washington Bullets,102.0,Detroit Pistons,104.0,Box Score,,,,
130,Golden State Warriors,95.0,Los Angeles Lakers,97.0,Box Score,,,,
131,Boston Celtics,127.0,Milwaukee Bucks,119.0,Box Score,OT,,,
132,Indiana Pacers,107.0,Phoenix Suns,116.0,Box Score,,,,
133,New Orleans Jazz,83.0,Seattle SuperSonics,117.0,Box Score,,,,
134,Philadelphia 76ers,114.0,Atlanta Hawks,93.0,Box Score,,,,
135,Indiana Pacers,100.0,Buffalo Braves,94.0,Box Score,,,,
136,Detroit Pistons,113.0,Denver Nuggets,123.0,Box Score,,,,
137,Cleveland Cavaliers,102.0,Los Angeles Lakers,95.0,Box Score,OT,,,
138,Portland Trail Blazers,109.0,Milwaukee Bucks,106.0,Box Score,,,,
139,New Orleans Jazz,105.0,New York Knicks,108.0,Box Score,,,,
140,Kansas City Kings,107.0,San Antonio Spurs,113.0,Box Score,,,,
141,Seattle SuperSonics,109.0,Washington Bullets,111.0,Box Score,,,,
142,Atlanta Hawks,105.0,Boston Celtics,131.0,Box Score,,,,
143,Buffalo Braves,101.0,Houston Rockets,97.0,Box Score,,,,
144,Portland Trail Blazers,104.0,Indiana Pacers,111.0,Box Score,,,,
145,Milwaukee Bucks,116.0,New Jersey Nets,106.0,Box Score,,,,
146,Seattle SuperSonics,96.0,Philadelphia 76ers,101.0,Box Score,,,,
147,Seattle SuperSonics,116.0,New Orleans Jazz,127.0,Box Score,,,,
148,Buffalo Braves,108.0,San Antonio Spurs,111.0,Box Score,,,,
149,Philadelphia 76ers,121.0,Boston Celtics,112.0,Box Score,,,,
150,San Antonio Spurs,94.0,Denver Nuggets,105.0,Box Score,,,,
151,Cleveland Cavaliers,104.0,Golden State Warriors,108.0,Box Score,,,,
152,Detroit Pistons,83.0,Los Angeles Lakers,116.0,Box Score,,,,
153,Indiana Pacers,124.0,New Jersey Nets,116.0,Box Score,,,,
154,Chicago Bulls,101.0,Phoenix Suns,103.0,Box Score,,,,
155,New York Knicks,103.0,Washington Bullets,123.0,Box Score,,,,
156,New Jersey Nets,114.0,Atlanta Hawks,129.0,Box Score,,,,
157,Boston Celtics,98.0,Buffalo Braves,102.0,Box Score,,,,
158,Detroit Pistons,96.0,Golden State Warriors,128.0,Box Score,,,,
